Name,Location,Category,CategoryJA,Address,Phone,Website,Notes
露天神社（お初天神）,"34.7008, 135.499",tourism,観光,大阪市北区曾根崎2-5-4,06-6311-0895,,"曽根崎心中ゆかりの神社, 縁結び, 北新地エリア"
大阪市中央公会堂,"34.6937, 135.4998",tourism,観光,大阪市北区中之島1-1-27,06-6208-2002,https://www.osaka-chuokokaido.com,"重要文化財, 中之島のシンボル, 見学無料"
大阪市立東洋陶磁美術館,"34.6939, 135.4995",tourism,観光,大阪市北区中之島1-1-26,06-6223-0055,https://www.moco.or.jp,"国宝収蔵, 陶磁器コレクション"
国立国際美術館,"34.6907, 135.493",tourism,観光,大阪市北区中之島4-2-55,06-6447-4680,https://www.nmao.go.jp,"現代美術, 地下型美術館"
大阪市立科学館,"34.6906, 135.4924",tourism,観光,大阪市北区中之島4-2-1,06-6444-5656,https://www.sci-museum.jp,"プラネタリウム, 体験展示"
医学研究所北野病院,"34.7011, 135.5068",hospital,病院,大阪市北区扇町2-4-20,06-6312-1221,https://www.kitano-hp.or.jp,"総合病院, 救急対応"
大阪市立総合医療センター,"34.7075, 135.529",hospital,病院,大阪市都島区都島本通2-13-22,06-6929-1221,,"救急24時間, 高度医療"
西天満どんぐり公園（地震時避難場所）,"34.6913, 135.4999",evacuation,避難場所,大阪市北区西天満,,,地震時避難場所
西天満小学校（洪水・津波時避難場所）,"34.691, 135.497",evacuation,避難場所,大阪市北区西天満,,,洪水・津波時避難場所
中之島公園（大規模火災時避難場所）,"34.6937, 135.4988",evacuation,避難場所,大阪市北区中之島,,,大規模火災時避難場所
大阪駅前 帰宅困難者一時滞在施設,"34.7025, 135.4959",evacuation,避難場所,大阪市北区梅田3丁目,,,帰宅困難者対応
大阪市北区役所,"34.6989, 135.5063",admin,行政,大阪市北区扇町2丁目1-27,06-6313-9963,,区役所
大阪市外国人総合相談センター,"34.6998, 135.494",admin,行政,大阪市北区,06-6773-6533,,多言語相談
JR大阪駅,"34.7025, 135.4959",transport,交通,大阪市北区梅田3丁目,,,"JR, 新幹線接続"
大阪メトロ 東梅田駅,"34.701, 135.5",transport,交通,大阪市北区曽根崎2丁目,,,谷町線
JR北新地駅（JR東西線）,"34.696, 135.4972",transport,交通,大阪市北区曽根崎新地,,,JR東西線
